"Year","Strategic warheads","Non-strategic warheads","Total stockpile","Awaiting dismantlement","Total intact warheads"
"1945","6","","6","",""
"1946","11","","11","",""
"1947","32","","32","",""
"1948","110","","110","",""
"1949","235","","235","",""
"1950","369","","369","",""
"1951","549","91","640","",""
"1952","800","205","1005","",""
"1953","1000","436","1436","",""
"1954","1500","563","2063","",""
"1955","2200","857","3057","",""
"1956","3000","1618","4618","",""
"1957","4200","2244","6444","",""
"1958","5700","4122","9822","",""
"1959","7006","8462","15468","",""
"1960","7000","13433","20433","",""
"1961","6874","17237","24111","",""
"1962","7211","20085","27296","",""
"1963","7098","20085","27183","",""
"1964","8028","22723","30751","",""
"1965","9345","22297","31642","",""
"1966","11232","20468","31700","",""
"1967","12409","18484","30893","",""
"1968","12238","16645","28883","",""
"1969","11969","14940","26909","",""
"1970","12223","13896","26119","",""
"1971","12875","13489","26364","",""
"1972","12363","12615","24978","",""
"1973","15059","13276","28335","",""
"1974","15398","12772","28170","",""
"1975","15748","11305","27053","",""
"1976","15568","10388","25956","",""
"1977","15530","9569","25099","",""
"1978","15235","9008","24243","",""
"1979","15156","8951","24107","",""
"1980","14404","9360","23764","",""
"1981","13586","9445","23031","",""
"1982","13072","9865","22937","",""
"1983","13113","10041","23154","",""
"1984","13960","9267","23227","",""
"1985","14044","9090","23134","",""
"1986","14481","8772","23253","",""
"1987","14955","8535","23490","",""
"1988","14795","8282","23077","",""
"1989","13967","8207","22174","285","22459"
"1990","13395","7816","21211","471","21682"
"1991","9154","9152","18306","1764","20070"
"1992","9444","4287","13731","4559","18290"
"1993","8512","3024","11536","5246","16782"
"1994","8801","2211","11012","4426","15438"
"1995","8959","1994","10953","3266","14219"
"1996","8648","2238","10886","2421","13307"
"1997","8755","2075","10830","1881","12711"
"1998","8744","2019","10763","1153","11916"
"1999","8681","2017","10698","960","11658"
"2000","8679","1936","10615","570","11185"
"2001","8309","2182","10491","416","10907"
"2002","8634","1821","10455","274","10729"
